종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유
부산주공,005030,486,38288532168.0,,,,,,0,주의 필요,
코스모신소재,005070,48250,1568643977000.0,,,,,,0,주의 필요,
SGC에너지,005090,23050,332135125650.0,,,,,,0,주의 필요,
한창,005110,1254,23332434378.0,,,,,,0,주의 필요,
동국산업,005160,4240,229996603680.0,,,,,,0,주의 필요,
빙그레,005180,94900,934882770900.0,,,,,,0,주의 필요,
녹십자홀딩스,005250,13900,653692119000.0,,,,,,0,주의 필요,
녹십자홀딩스2우,005257,21600,18273384000.0,,,,,,0,주의 필요,
동진쎄미켐,005290,30700,1578424965800.0,,,,,,0,주의 필요,
롯데칠성,005300,107100,993768476400.0,,,,,,0,주의 필요,
롯데칠성우,005305,66100,51247991000.0,,,,,,0,주의 필요,
온타이드,005320,422,28494377262.0,,,,,,0,주의 필요,
모나미,005360,2010,37983587070.0,,,,,,0,주의 필요,
현대차,005380,198500,41569113913500.0,,,,,,0,주의 필요,
현대차우,005385,146900,3506795037200.0,,,,,,0,주의 필요,
현대차2우B,005387,149800,5356756771800.0,,,,,,0,주의 필요,
현대차3우B,005389,146700,349205266800.0,,,,,,0,주의 필요,
신성통상,005390,2185,314002832150.0,,,,,,0,주의 필요,
코스모화학,005420,18940,727451838320.0,,,,,,0,주의 필요,
한국공항,005430,51500,163067282500.0,,,,,,0,주의 필요,
현대지에프홀딩스,005440,5270,821615666270.0,,,,,,0,주의 필요,
POSCO홀딩스,005490,304500,25159122796500.0,,,,,,0,주의 필요,
삼진제약,005500,17670,245613000000.0,,,,,,0,주의 필요,
SPC삼립,005610,52700,454748774300.0,,,,,,0,주의 필요,
푸드웰,005670,5000,50000000000.0,,,,,,0,주의 필요,
삼영전자,005680,9980,199600000000.0,,,,,,0,주의 필요,
파미셀,005690,12360,741809675040.0,,,,,,0,주의 필요,
대원산업,005710,7340,147075984000.0,,,,,,0,주의 필요,
넥센,005720,4585,245499134545.0,,,,,,0,주의 필요,
넥센우,005725,3075,11071845000.0,,,,,,0,주의 필요,
크라운해태홀딩스,005740,5380,79878726860.0,,,,,,0,주의 필요,
크라운해태홀딩스우,005745,7560,4541488560.0,,,,,,0,주의 필요,
대림B&Co,005750,3955,65938709200.0,,,,,,0,주의 필요,
신영와코루,005800,10280,92520000000.0,,,,,,0,주의 필요,
풍산홀딩스,005810,28200,406567634400.0,,,,,,0,주의 필요,
원림,005820,14000,32171580000.0,,,,,,0,주의 필요,
DB손해보험,005830,94900,6718920000000.0,,,,,,0,주의 필요,
에스엘,005850,34400,1597829088000.0,,,,,,0,주의 필요,
한일사료,005860,3790,149339966150.0,,,,,,0,주의 필요,
휴니드,005870,8560,120833088400.0,,,,,,0,주의 필요,
대한해운,005880,1716,551196274200.0,,,,,,0,주의 필요,
삼성전자,005930,54700,323804194333400.0,,,,,,0,주의 필요,
삼성전자우,005935,45500,37126847212000.0,,,,,,0,주의 필요,
NH투자증권,005940,14490,4745363412510.0,,,,,,0,주의 필요,
NH투자증권우,005945,13000,245322584000.0,,,,,,0,주의 필요,
이수화학,005950,6340,144062165260.0,,,,,,0,주의 필요,
동부건설,005960,3590,82377378550.0,,,,,,0,주의 필요,
동부건설우,005965,18650,4209901800.0,,,,,,0,주의 필요,
매일홀딩스,005990,9360,128403325440.0,,,,,,0,주의 필요,
동원산업,006040,36200,1434391840800.0,,,,,,0,주의 필요,
국영지앤엠,006050,1629,56844350847.0,,,,,,0,주의 필요,
화승인더,006060,5160,285451200000.0,,,,,,0,주의 필요,
사조오양,006090,8480,79904826720.0,,,,,,0,주의 필요,
삼아알미늄,006110,29550,434737117800.0,,,,,,0,주의 필요,
SK디스커버리,006120,39900,749555614500.0,,,,,,0,주의 필요,
SK디스커버리우,006125,33500,45508242500.0,,,,,,0,주의 필요,
피제이전자,006140,5980,89700000000.0,,,,,,0,주의 필요,
한국전자홀딩스,006200,706,33043014016.0,,,,,,0,주의 필요,
제주은행,006220,7760,249319286240.0,,,,,,0,주의 필요,
LS,006260,130100,4189220000000.0,,,,,,0,주의 필요,
녹십자,006280,128500,1501720133000.0,,,,,,0,주의 필요,
대원전선,006340,3095,232060546625.0,,,,,,0,주의 필요,
대원전선우,006345,4105,10760026000.0,,,,,,0,주의 필요,
GS건설,006360,17780,1521638892200.0,,,,,,0,주의 필요,
대구백화점,006370,7850,84949646350.0,,,,,,0,주의 필요,
카프로,006380,3660,618539985360.0,,,,,,0,주의 필요,
한일현대시멘트,006390,14930,288562142960.0,,,,,,0,주의 필요,
삼성SDI,006400,191400,13161531042000.0,,,,,,0,주의 필요,
삼성SDI우,006405,127100,205634581600.0,,,,,,0,주의 필요,
인스코비,006490,1401,167235966198.0,,,,,,0,주의 필요,
대림통상,006570,2475,37681875000.0,,,,,,0,주의 필요,
동구바이오제약,006620,4905,139620785760.0,,,,,,0,주의 필요,
대한유화,006650,98900,642850000000.0,,,,,,0,주의 필요,
삼성공조,006660,17950,145867336300.0,,,,,,0,주의 필요,
서부T&D,006730,5430,357983191890.0,,,,,,0,주의 필요,
영풍제지,006740,999,55851310782.0,,,,,,0,주의 필요,
미래에셋증권,006800,9550,5446521696400.0,,,,,,0,주의 필요,
미래에셋증권우,006805,4690,66015267500.0,,,,,,0,주의 필요,
미래에셋증권2우B,00680K,4250,584375000000.0,,,,,,0,주의 필요,
AK홀딩스,006840,10800,143073658800.0,,,,,,0,주의 필요,
신송홀딩스,006880,7190,85049489020.0,,,,,,0,주의 필요,
태경케미컬,006890,11760,136416000000.0,,,,,,0,주의 필요,
보성파워텍,006910,2825,138791752800.0,,,,,,0,주의 필요,
모헨즈,006920,3090,33742800000.0,,,,,,0,주의 필요,
우성,006980,14580,45052200000.0,,,,,,0,주의 필요,
GS리테일,007070,14740,1232373297100.0,,,,,,0,주의 필요,
일신석재,007110,2040,158011484400.0,,,,,,0,주의 필요,
미래아이앤지,007120,782,22583071456.0,,,,,,0,주의 필요,
사조산업,007160,33800,169000000000.0,,,,,,0,주의 필요,
벽산,007210,2195,148294200000.0,,,,,,0,주의 필요,
한국특강,007280,1763,107213867293.0,,,,,,0,주의 필요,
오뚜기,007310,394500,1581088935000.0,,,,,,0,주의 필요,
푸른저축은행,007330,8170,123226476000.0,,,,,,0,주의 필요,
DN오토모티브,007340,20600,1205323819000.0,,,,,,0,주의 필요,
