"종목코드","기준일","지표","값"
"023160","20250320","DY","0.0076"
"023350","20250320","DY","0.0195"
"023410","20250320","DY","0.0504"
"023450","20250320","DY","0.0292"
"023530","20250320","DY","0.0588"
"023590","20250320","DY","0.0321"
"023600","20250320","DY","0.0373"
"023760","20250320","DY","0.05"
"023800","20250320","DY","0.0338"
"023810","20250320","DY","0.0315"
"023900","20250320","DY","0.0112"
"023910","20250320","DY","0.0295"
"024060","20250320","DY","0.0044"
"024070","20250320","DY","0.0261"
"024090","20250320","DY","0.0129"
"024110","20250320","DY","0.0624"
"024120","20250320","DY","0.0475"
"024720","20250320","DY","0.0189"
"024830","20250320","DY","0.0127"
"024880","20250320","DY","0.0358"
"024900","20250320","DY","0.0174"
"024910","20250320","DY","0.028"
"024940","20250320","DY","0.0042"
"025000","20250320","DY","0.0679"
"025530","20250320","DY","0.0715"
"025540","20250320","DY","0.0099"
"025820","20250320","DY","0.0101"
"025860","20250320","DY","0.0094"
"025880","20250320","DY","0.027"
"025950","20250320","DY","0.0033"
"026040","20250320","DY","0.0545"
"026890","20250320","DY","0.0336"
"026940","20250320","DY","0.0299"
"026960","20250320","DY","0.0289"
"027360","20250320","DY","0.0232"
"027410","20250320","DY","0.0348"
"027710","20250320","DY","0.0204"
"028100","20250320","DY","0.0381"
"028260","20250320","DY","0.0205"
"028670","20250320","DY","0.0241"
"029460","20250320","DY","0.014"
"029530","20250320","DY","0.0392"
"029780","20250320","DY","0.0565"
"029960","20250320","DY","0.0564"
"030000","20250320","DY","0.0617"
"030190","20250320","DY","0.0337"
"030200","20250320","DY","0.0387"
"030210","20250320","DY","0.0523"
"030520","20250320","DY","0.0206"
"030610","20250320","DY","0.0383"
"030960","20250320","DY","0.005"
"031210","20250320","DY","0.0862"
"031330","20250320","DY","0.071"
"031430","20250320","DY","0.0392"
"031440","20250320","DY","0.0234"
"031510","20250320","DY","0.0453"
"031980","20250320","DY","0.0137"
"032190","20250320","DY","0.0226"
"032280","20250320","DY","0.0156"
"032300","20250320","DY","0.0033"
"032540","20250320","DY","0.0682"
"032560","20250320","DY","0.029"
"032620","20250320","DY","0.0176"
"032640","20250320","DY","0.0601"
"032750","20250320","DY","0.0167"
"032830","20250320","DY","0.0432"
"032850","20250320","DY","0.013"
"032960","20250320","DY","0.0034"
"033100","20250320","DY","0.0135"
"033130","20250320","DY","0.0121"
"033160","20250320","DY","0.0125"
"033270","20250320","DY","0.0216"
"033290","20250320","DY","0.0767"
"033500","20250320","DY","0.0106"
"033530","20250320","DY","0.0355"
"033780","20250320","DY","0.0509"
"033830","20250320","DY","0.023"
"033920","20250320","DY","0.0337"
"034120","20250320","DY","0.0257"
"034230","20250320","DY","0.0095"
"034310","20250320","DY","0.039"
"034590","20250320","DY","0.0506"
"034730","20250320","DY","0.0361"
"034810","20250320","DY","0.0336"
"034830","20250320","DY","0.07"
"034950","20250320","DY","0.058"
"035000","20250320","DY","0.0678"
"035080","20250320","DY","0.0145"
"035150","20250320","DY","0.0202"
"035200","20250320","DY","0.0101"
"035250","20250320","DY","0.0547"
"035420","20250320","DY","0.0058"
"035510","20250320","DY","0.0288"
"035600","20250320","DY","0.0487"
"035720","20250320","DY","0.0014"
"035810","20250320","DY","0.041"
"035890","20250320","DY","0.0292"
"035900","20250320","DY","0.0094"
"036010","20250320","DY","0.0087"
"036120","20250320","DY","0.0241"
"036190","20250320","DY","0.0502"
"036200","20250320","DY","0.0114"
"036220","20250320","DY","0.1446"
"036480","20250320","DY","0.0082"
"036530","20250320","DY","0.0252"
"036560","20250320","DY","0.0519"
"036570","20250320","DY","0.0192"
"036580","20250320","DY","0.0231"
"036640","20250320","DY","0.0408"
"036670","20250320","DY","0.0388"
"036710","20250320","DY","0.0064"
"036800","20250320","DY","0.041"
"036810","20250320","DY","0.0022"
"036830","20250320","DY","0.0062"
"036890","20250320","DY","0.0202"
"036930","20250320","DY","0.0012"
"037070","20250320","DY","0.0265"
"037230","20250320","DY","0.0241"
"037330","20250320","DY","0.0375"
"037350","20250320","DY","0.0242"
"037440","20250320","DY","0.0299"
"037460","20250320","DY","0.0481"
"037560","20250320","DY","0.0512"
"037710","20250320","DY","0.0745"
"037760","20250320","DY","0.0273"
"038010","20250320","DY","0.0289"
"038070","20250320","DY","0.0144"
"038110","20250320","DY","0.0242"
"038290","20250320","DY","0.0176"
"038390","20250320","DY","0.0901"
"038500","20250320","DY","0.0324"
"038680","20250320","DY","0.0293"
"038950","20250320","DY","0.0155"
"039010","20250320","DY","0.0203"
"039020","20250320","DY","0.0145"
"039030","20250320","DY","0.003"
"039130","20250320","DY","0.0931"
"039240","20250320","DY","0.0261"
"039290","20250320","DY","0.0079"
"039340","20250320","DY","0.0268"
"039420","20250320","DY","0.0321"
"039440","20250320","DY","0.0086"
"039490","20250320","DY","0.0232"
"039570","20250320","DY","0.0531"
"039830","20250320","DY","0.0216"
"040160","20250320","DY","0.0195"
"040420","20250320","DY","0.0941"
"041440","20250320","DY","0.008"
"041460","20250320","DY","0.0209"
"041510","20250320","DY","0.0126"
"041520","20250320","DY","0.047"
"041650","20250320","DY","0.0372"
"041830","20250320","DY","0.0154"
"041910","20250320","DY","0.016"
"041920","20250320","DY","0.0051"
"041930","20250320","DY","0.028"
"042110","20250320","DY","0.0209"
"042370","20250320","DY","0.0065"
"042500","20250320","DY","0.0234"
"042670","20250320","DY","0.0116"
"042700","20250320","DY","0.0046"
"043150","20250320","DY","0.0047"
"043370","20250320","DY","0.0224"
"043650","20250320","DY","0.0233"
"044340","20250320","DY","0.0488"
"044450","20250320","DY","0.0407"
"044820","20250320","DY","0.0348"
"044960","20250320","DY","0.009"
"044990","20250320","DY","0.0124"
"045060","20250320","DY","0.0197"
"045100","20250320","DY","0.0358"
"045660","20250320","DY","0.0068"
"046310","20250320","DY","0.0349"
"046440","20250320","DY","0.0525"
"046890","20250320","DY","0.0202"
"047050","20250320","DY","0.0179"
"047810","20250320","DY","0.0058"
"048430","20250320","DY","0.0213"
"048470","20250320","DY","0.0059"
"048530","20250320","DY","0.0258"
"048770","20250320","DY","0.012"
"048830","20250320","DY","0.0285"
"048910","20250320","DY","0.0096"
"049070","20250320","DY","0.0132"
"049430","20250320","DY","0.0225"
"049480","20250320","DY","0.0108"
"049720","20250320","DY","0.0395"
"049770","20250320","DY","0.0235"
"049800","20250320","DY","0.0248"
"049830","20250320","DY","0.0113"
"049950","20250320","DY","0.0046"
"049960","20250320","DY","0.0348"
"050860","20250320","DY","0.0252"
"050890","20250320","DY","0.0071"
"050960","20250320","DY","0.0085"
"051360","20250320","DY","0.0088"
"051380","20250320","DY","0.0367"
"051390","20250320","DY","0.0544"
"051490","20250320","DY","0.0162"
"051500","20250320","DY","0.02"
"051600","20250320","DY","0.0507"
"051900","20250320","DY","0.0108"
"051910","20250320","DY","0.0136"
"052260","20250320","DY","0.0154"
"052330","20250320","DY","0.0216"
"052460","20250320","DY","0.0354"
"052600","20250320","DY","0.0362"
"052690","20250320","DY","0.0084"
"053050","20250320","DY","0.0137"
"053080","20250320","DY","0.0233"
"053160","20250320","DY","0.0046"
"053210","20250320","DY","0.077"
"053260","20250320","DY","0.0314"
"053270","20250320","DY","0.0227"
"053280","20250320","DY","0.0483"
"053300","20250320","DY","0.0162"
"053350","20250320","DY","0.0028"
"053450","20250320","DY","0.0162"
"053580","20250320","DY","0.0105"
"053610","20250320","DY","0.016"
"053620","20250320","DY","0.0604"
"053690","20250320","DY","0.0244"
"053700","20250320","DY","0.0119"
"053800","20250320","DY","0.0169"
"054040","20250320","DY","0.064"
"054050","20250320","DY","0.0267"
"054210","20250320","DY","0.0158"
"054450","20250320","DY","0.0135"
"054540","20250320","DY","0.0203"
"054670","20250320","DY","0.0142"
"054800","20250320","DY","0.0275"
"054930","20250320","DY","0.0345"
"054950","20250320","DY","0.0178"
"055550","20250320","DY","0.0442"
"056190","20250320","DY","0.0137"
"056360","20250320","DY","0.0052"
"057030","20250320","DY","0.0407"
"057050","20250320","DY","0.0554"
"058400","20250320","DY","0.0259"
"058430","20250320","DY","0.034"
"058470","20250320","DY","0.0145"
"058610","20250320","DY","0.008"
"058630","20250320","DY","0.031"
"058650","20250320","DY","0.0425"
"058730","20250320","DY","0.0345"
"058850","20250320","DY","0.038"
"058860","20250320","DY","0.0472"
"059210","20250320","DY","0.0046"
"060250","20250320","DY","0.0244"
"060370","20250320","DY","0.0098"
"060380","20250320","DY","0.0359"
"060480","20250320","DY","0.0295"
"060540","20250320","DY","0.034"
"060560","20250320","DY","0.0049"
"060720","20250320","DY","0.0421"
"060850","20250320","DY","0.0153"
"060980","20250320","DY","0.0531"
"062040","20250320","DY","0.003"
"063570","20250320","DY","0.024"
"063760","20250320","DY","0.0249"
"064350","20250320","DY","0.0009"
"064400","20250320","DY","0.029"
"064480","20250320","DY","0.029"
"064760","20250320","DY","0.013"
"064820","20250320","DY","0.0459"
"064850","20250320","DY","0.0259"
"064960","20250320","DY","0.0618"
"065350","20250320","DY","0.0018"
"065370","20250320","DY","0.0204"
"065510","20250320","DY","0.0249"
"065530","20250320","DY","0.039"
"065680","20250320","DY","0.0054"
"065710","20250320","DY","0.0634"
"066130","20250320","DY","0.0168"
"066310","20250320","DY","0.011"
"066570","20250320","DY","0.0097"
"066620","20250320","DY","0.0239"
"066670","20250320","DY","0.0171"
"067010","20250320","DY","0.0348"
"067080","20250320","DY","0.0099"
"067160","20250320","DY","0.0101"
"067170","20250320","DY","0.0333"
"067280","20250320","DY","0.0492"
"067310","20250320","DY","0.0041"
"067370","20250320","DY","0.012"
"067570","20250320","DY","0.0677"
"067730","20250320","DY","0.0204"
"067830","20250320","DY","0.0132"
"067900","20250320","DY","0.008"
"067920","20250320","DY","0.0338"
"067990","20250320","DY","0.0824"
"068270","20250320","DY","0.0027"
"068290","20250320","DY","0.0133"
"068330","20250320","DY","0.0068"
"068790","20250320","DY","0.0142"
"068930","20250320","DY","0.0276"
"069080","20250320","DY","0.0224"
"069260","20250320","DY","0.062"
