"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"391710","코닉오토메이션","KOSDAQ","1733","72898794038.0","20250317","56.0","","631.0","0.0","보통주"
"393210","토마토시스템","KOSDAQ","6490","101338390560.0","20250317","225.0","","1969.0","90.0","보통주"
"393890","더블유씨피","KOSDAQ","8800","297819667200.0","20250317","1591.0","","29689.0","0.0","보통주"
"393970","대진첨단소재","KOSDAQ","12720","188215550400.0","20250317","31.0","","4756.0","0.0","보통주"
"394280","오픈엣지테크놀로지","KOSDAQ","14590","319340186130.0","20250317","","","959.0","0.0","보통주"
"394800","쓰리빌리언","KOSDAQ","5770","182816737700.0","20250317","","","455.0","0.0","보통주"
"395400","SK리츠","KOSPI","4985","1366208182580.0","20250317","","","","","리츠"
"396270","넥스트칩","KOSDAQ","8300","150138202000.0","20250317","","","1625.0","0.0","보통주"
"396300","세아메카닉스","KOSDAQ","2310","61190745000.0","20250317","240.0","","2653.0","0.0","보통주"
"396470","워트","KOSDAQ","9350","150722000000.0","20250317","172.0","","3765.0","50.0","보통주"
"396690","미래에셋글로벌리츠","KOSPI","2755","109114364700.0","20250317","","","","","리츠"
"397030","에이프릴바이오","KOSDAQ","17120","384961963520.0","20250317","","478.0","2677.0","0.0","보통주"
"398120","에스지헬스케어","KOSDAQ","3180","35217546000.0","20250317","","","","0.0","보통주"
"399720","가온칩스","KOSDAQ","51200","593782784000.0","20250317","552.0","","5398.0","0.0","보통주"
"400760","NH올원리츠","KOSPI","3545","155157162960.0","20250317","","","","","리츠"
"402030","코난테크놀로지","KOSDAQ","22100","253427064800.0","20250317","","","2751.0","0.0","보통주"
"402340","SK스퀘어","KOSPI","93600","12500098041600.0","20250317","","31465.0","112214.0","0.0","보통주"
"402490","그린리소스","KOSDAQ","16510","136470735440.0","20250317","388.0","","6248.0","0.0","보통주"
"403490","우듬지팜","KOSDAQ","1468","66371897152.0","20250317","34.0","","836.0","0.0","보통주"
"403550","쏘카","KOSPI","15150","497554815300.0","20250317","","","6458.0","0.0","보통주"
"403870","HPSP","KOSDAQ","28150","2350484689200.0","20250317","990.0","1195.0","3350.0","150.0","보통주"
"404990","신한서부티엔디리츠","KOSPI","3155","176540814020.0","20250317","","","","","리츠"
"405000","플라즈맵","KOSDAQ","705","18384175020.0","20250317","","","399.0","0.0","보통주"
"405100","큐알티","KOSDAQ","13500","165905563500.0","20250317","219.0","","8347.0","480.0","보통주"
